W;win
L;sadness
Shit's fire bro;impressed
TFW she says she needs time;sadness
That Woke me up;surprised
That song is Bop;Impressed
Ronaldo is the G.O.A.T;Proud
Your nose is Smol;adorable
We Fam bro;happiness
That dude had a Glow up;surpirsed
I Stan BTS so hard;obsession
She's been Ghosting me for weeks;heartbroken
Why you so Salty?;jealousy
Let's Sip tea about Jake;gossiping
His outfit got mad Drip;impressed
Iykyk about that party;inside joke
That meme lives Rent free in my head;obsessive
You wanna Catch these hands?;anger
She Dragged his whole career;roasting
This pizza is Bussin';delicious
Your fit is Snatched today;impressed
Cancel culture came for him;outrage
Ffs not this again;frustration
He's such an e-boy;cringe
That e-girl aesthetic;trendy
Big yikes at that text;embarrassment
I'm Finna leave soon;planning
You cappin' right now;lying
I High-key love this;excitement
Stop Simping for her;desperate
Those Crocs are Camp;ironic
You're a total Snack;attraction
Take several seats Karen;annoyance
Sheesh that dunk was cold;impressed
This song Hits different;nostalgia
Bet we win this game;agreement
Periodt no discussion;finality
He Finessed the system;clever
I'm weak at that meme;laughter
Main character energy;confidence
Sis spilled the tea;gossip
That joke got me Sending me;hysterical
Flexing that Gaup;wealth
This ain't it chief;disapproval
She's so Extra;dramatic
That Clapback was savage;comeback
@ me next time;challenge
This heat is Asl;intense
They bout to Bang 30s;fight
Based take my dude;agreement
She Beat her face flawless;makeup
Big mad over nothing;anger
Flexing his Body count;bragging
Boujee brunch spot;luxury
That's Bussy talk;vulgar
Secondhand Cringe;awkwardness
This meme got me Ded;laughter
Just spitting Facts;truth
Her Glow up insane;transformation
I oop that was close;surprise
It's giving rich auntie;aesthetic
This party Lit;fun
Mid effort tbh;mediocre
Not you eating alone;pity
NPC energy;basic
OK boomer;dismissive
On god I saw it;truth
Ratioed on Twitter;humiliation
His Rizz unmatched;charm
Sksksks so funny;laughter
This beat Slaps;catchy
Sus behavior;distrust
She Slayed that performance;excellence
Spill the Tea;gossip
Understood the assignment;perfection
Valid point;agreement
Vibe Check failed;awkwardness
Just Vibing today;chill
Wig flew at that reveal;shock
Word we out;agreement
Af tired;exhaustion
Big brain play;intelligence
Chad move;confidence
Got Clapped in game;defeat
Clown behavior;foolishness
Cringy pickup line;awkwardness
Fomo hitting hard;anxiety
Fr no cap;truth
I can't even rn;overwhelm
Ion like that;dislike
IRL meetup;planning
Karen at Starbucks;entitlement
Low key obsessed;secret
Mommy? Sorry. Mommy?;admiration
Dad energy;protective
Ngl that's fire;honesty
Pick me girl alert;attention-seeking
Boomer take;outdated
Sleeping on this artist;underrated
Throwing Shade;insult
Shook by that twist;surprise
Smh my head;disappointment
Tbh you're right;honesty
Thirsty for attention;desperate
Thirst trap selfie;flirtation
Yas queen slay;support
Yeet that trash;action
Ick factor;disgust
Naur not this;denial
Say less I'm in;agreement
Unserious behavior;chaos
Gagged at that look;shock
Ate and left no crumbs;perfection
Poggers moment;excitement
Heather energy;admiration
Wth just happened;confusion
Flexing too hard;showoff
Gucci fit;style
Hot girl summer vibes;confidence
Get Sturdy;dancing
Skill issue bro;taunting
TNTL at that meme;amusement
G2G ttyl;goodbye
YNK what'll happen;mystery
CSL at that video;hysterics
GMTA always;agreement
IMO she's right;opinion
IMOH be humble;modesty
JK unless...;teasing
Bae caught me;romance
SSDD amirite;routine
WYWH buddy;missing
Benching his ex;playing
Breadcrumbing her;leading on
DTR time;serious
Gaslighting expert;manipulation
ILY too;love
Pink flags showing;caution
Smash or pass;judgment
Situationship drama;complication
Zaddy alert;attraction
Zombie-ing again;ghosting
Sheesh that's cold;shock
Glow up goals;inspiration
It's giving villain;impressed
Pop off king;encouragement
Touch grass;impressed
Gatekeep gaslight girlboss;manipulation
Let him cook;encouragement
Oh nah that's crazy;surpised
Delulu is the solulu;delusion
Catch these hands bro;anger
Ffs not again;frustration 
Big mad over nothing;anger
This ain't it chief;frustration
